	Common Settings,	
	.Source/Sweep Points,	101
	.Stepper,	base
	.Stepper Points,	5
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	base
	..Instrument,	New Top 2450
	...Model,	2450
	...Serial Number,	01419964
	..Source Settings,	
	...Mode,	DC
	...Function,	Current Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5E-05
	...Stop,	0.0004
	...Step,	8.75E-05
	...Limit,	20
	..Measure Settings,	
	...Current,	Measured
	...Voltage,	False
	...Range,	Auto
	...Minimum Range,	0.02
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	collector
	..Instrument,	Bottom 2450
	...Model,	2450
	...Serial Number,	01419958
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	4
	...Step,	0.04
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","base = 5E-05Abase Time (s)","base = 5E-05Abase Current (A)","base = 5E-05Acollector Voltage (V)","base = 5E-05Acollector Current (A)","base = 0.0001375Abase Time (s)","base = 0.0001375Abase Current (A)","base = 0.0001375Acollector Voltage (V)","base = 0.0001375Acollector Current (A)","base = 0.000225Abase Time (s)","base = 0.000225Abase Current (A)","base = 0.000225Acollector Voltage (V)","base = 0.000225Acollector Current (A)","base = 0.0003125Abase Time (s)","base = 0.0003125Abase Current (A)","base = 0.0003125Acollector Voltage (V)","base = 0.0003125Acollector Current (A)","base = 0.0004Abase Time (s)","base = 0.0004Abase Current (A)","base = 0.0004Acollector Voltage (V)","base = 0.0004Acollector Current (A)"
"49","4.41897446","4.99996749567799E-05","1.91442096233368","0.00847558956593275","14.4586211","0.000137495968374424","1.91599750518799","0.0210250224918127","23.70272308","0.000224995237658732","1.91995632648468","0.0367056839168072","32.93467834","0.000312491756631061","1.91995215415955","0.0463356636464596","42.16977894","0.000399989541620016","1.91995060443878","0.0531870499253273"
"50","4.49324902","4.99996858707163E-05","1.95444178581238","0.00847851485013962","14.53287924","0.000137495968374424","1.95470571517944","0.020997105166316","23.77700548","0.000224995106691495","1.95997631549835","0.0368000157177448","33.00894918","0.000312492222292349","1.95997393131256","0.0465806648135185","42.24404778","0.000399989599827677","1.95997130870819","0.053512841463089"
"51","4.56751986","4.99996313010342E-05","1.99443650245667","0.00848131068050861","14.60714992","0.000137496317620389","1.99343371391296","0.0209781900048256","23.85128608","0.000224995324970223","1.99996590614319","0.0368864014744759","33.0832303","0.000312492105877027","1.99996173381805","0.0468177609145641","42.31831526","0.00039998977445066","1.99995648860931","0.0538335070014"
"52","4.6417954","4.99996749567799E-05","2.03441309928894","0.00848405715078115","14.68141402","0.000137496244860813","2.03230667114258","0.020966675132513","23.92556474","0.000224995383177884","2.03994750976563","0.0367857925593853","33.15752418","0.000312493211822584","2.03994035720825","0.0470473803579807","42.39258922","0.00039998977445066","2.03993582725525","0.0541491732001305"
"53","4.71606098","4.99996749567799E-05","2.0744001865387","0.00848677661269903","14.75569594","0.000137496244860813","2.07143926620483","0.0209619514644146","23.99984858","0.000224994684685953","2.08001518249512","0.0365320779383183","33.23179902","0.000312492891680449","2.07994413375854","0.0472699776291847","42.46686144","0.000399989978177473","2.07993960380554","0.0544596388936043"
"54","4.79032066","4.99996458529495E-05","2.1199836730957","0.0084906741976738","14.8299603","0.000137496055685915","2.1201548576355","0.0209777355194092","24.0741245","0.000224995514145121","2.12006711959839","0.0363599844276905","33.30606718","0.000312492396915331","2.12006068229675","0.0474846512079239","42.54115322","0.000399989890865982","2.12004899978638","0.054763425141573"
"55","4.86461288","4.99996749567799E-05","2.15996122360229","0.00849338620901108","14.90424942","0.000137496404931881","2.1601550579071","0.020982913672924","24.14839246","0.000224995106691495","2.16002488136292","0.0361945889890194","33.38033102","0.000312491960357875","2.16005253791809","0.0476932637393475","42.6154261","0.000399989512516186","2.16003632545471","0.0550627484917641"
"56","4.93888772","4.99996749567799E-05","2.1998438835144","0.00849595665931702","14.97855164","0.00013749607023783","2.20007395744324","0.0209912918508053","24.22264918","0.000224995921598747","2.19989037513733","0.036030225455761","33.45464852","0.000312492105877027","2.19993090629578","0.0478948689997196","42.68971088","0.000399990065488964","2.19991159439087","0.0553557574748993"
"57","5.013166","4.99996640428435E-05","2.23981642723083","0.00849855970591307","15.05282702","0.000137496288516559","2.24006938934326","0.0210030861198902","24.296951","0.000224995310418308","2.23983454704285","0.0358687527477741","33.52891438","0.00031249230960384","2.23990511894226","0.0480905622243881","42.76400546","0.000399990065488964","2.23988628387451","0.0556434951722622"
"58","5.08743896","4.99997222505044E-05","2.27970314025879","0.00850110407918692","15.1271017","0.00013749607023783","2.27998876571655","0.0210172850638628","24.37122756","0.000224995223106816","2.27970504760742","0.0357067510485649","33.60320364","0.000312492193188518","2.27980613708496","0.0482799336314201","42.83828074","0.000399989599827677","2.279789686203","0.055925190448761"
